product_id;status;current_handle;new_handle;rule;variant_count;variant_skus
15360089358666;ACTIVE;35173314287-1609;35.173.314.287;single_variant_exact_sku;1;35.173.314.287
15360168264010;ACTIVE;35170414287-2389;35.170.414.287;single_variant_exact_sku;1;35.170.414.287
15360181797194;ACTIVE;35169614287-2593;35.169.614.287;single_variant_exact_sku;1;35.169.614.287
15359991611722;ACTIVE;35175914451-728;35.175.914.451;single_variant_exact_sku;1;35.175.914.451
15360021102922;ACTIVE;35175114451-1000;35.175.114.451;single_variant_exact_sku;1;35.175.114.451
15360056164682;ACTIVE;35174114451-1340;35.174.114.451;single_variant_exact_sku;1;35.174.114.451
15360089588042;ACTIVE;35173314451-1612;35.173.314.451;single_variant_exact_sku;1;35.173.314.451
15360168558922;ACTIVE;35170414451-2392;35.170.414.451;single_variant_exact_sku;1;35.170.414.451
15360181961034;ACTIVE;35169614451-2596;35.169.614.451;single_variant_exact_sku;1;35.169.614.451
15359992168778;ACTIVE;35175914901-735;35.175.914.90x;multi_variant_suffix_x;2;35.175.914.901,35.175.914.900
15360021463370;ACTIVE;35175114901-1004;35.175.114.90x;multi_variant_suffix_x;2;35.175.114.901,35.175.114.900
15360056590666;ACTIVE;35174114901-1344;35.174.114.90x;multi_variant_suffix_x;2;35.174.114.901,35.174.114.900
15360089915722;ACTIVE;35173314901-1616;35.173.314.90x;multi_variant_suffix_x;2;35.173.314.901,35.173.314.900
15360168919370;ACTIVE;35170414901-2396;35.170.414.90x;multi_variant_suffix_x;2;35.170.414.901,35.170.414.900
15360182124874;ACTIVE;35169614901-2600;35.169.614.90x;multi_variant_suffix_x;2;35.169.614.901,35.169.614.900
15359991742794;ACTIVE;35175914036-730;35.175.914.03x;multi_variant_suffix_x;3;35.175.914.036,35.175.914.034,35.175.914.035
15360021627210;ACTIVE;35175114036-1006;35.175.114.03x;multi_variant_suffix_x;3;35.175.114.036,35.175.114.034,35.175.114.035
15360056852810;ACTIVE;35174114036-1346;35.174.114.03x;multi_variant_suffix_x;3;35.174.114.036,35.174.114.034,35.174.114.035
15360090046794;ACTIVE;35173314036-1618;35.173.314.03x;multi_variant_suffix_x;3;35.173.314.036,35.173.314.034,35.173.314.035
15360169115978;ACTIVE;35170414036-2398;35.170.414.03x;multi_variant_suffix_x;3;35.170.414.036,35.170.414.034,35.170.414.035
15360182255946;ACTIVE;35169614036-2602;35.169.614.03x;multi_variant_suffix_x;3;35.169.614.036,35.169.614.034,35.169.614.035
15359986368842;ACTIVE;35176014840-671;35.176.014.84x;multi_variant_suffix_x;2;35.176.014.840,35.176.014.841
15360015827274;ACTIVE;35175214840-943;35.175.214.84x;multi_variant_suffix_x;2;35.175.214.840,35.175.214.841
